Date	Amount
7/31/1961 16:00:00	0.009358
8/31/1961 16:00:00	0.009539
9/29/1961 16:00:00	0.009341
10/31/1961 16:00:00	0.009596
11/30/1961 16:00:00	0.009968
12/29/1961 16:00:00	0.009999
1/31/1962 16:00:00	0.009593
2/28/1962 16:00:00	0.009723
3/30/1962 16:00:00	0.009643
4/30/1962 16:00:00	0.009023
5/31/1962 16:00:00	0.008220
6/29/1962 16:00:00	0.007532
7/31/1962 16:00:00	0.007985
8/31/1962 16:00:00	0.008088
9/28/1962 16:00:00	0.007677
10/31/1962 16:00:00	0.007693
11/30/1962 16:00:00	0.008453
12/31/1962 16:00:00	0.008546
1/31/1963 16:00:00	0.008909
2/28/1963 16:00:00	0.008604
3/29/1963 16:00:00	0.008853
4/30/1963 16:00:00	0.009227
5/31/1963 16:00:00	0.009300
6/28/1963 16:00:00	0.009059
7/31/1963 16:00:00	0.008969
8/30/1963 16:00:00	0.009348
9/30/1963 16:00:00	0.009189
10/31/1963 16:00:00	0.009427
11/29/1963 16:00:00	0.009277
12/31/1963 16:00:00	0.009445
1/31/1964 16:00:00	0.009690
2/28/1964 16:00:00	0.009777
3/31/1964 16:00:00	0.009920
4/30/1964 16:00:00	0.009973
5/28/1964 16:00:00	0.010080
6/30/1964 16:00:00	0.010236
7/31/1964 16:00:00	0.010415
8/31/1964 16:00:00	0.010240
9/30/1964 16:00:00	0.010527
10/30/1964 16:00:00	0.010604
11/30/1964 16:00:00	0.010541
12/31/1964 16:00:00	0.010578
1/29/1965 16:00:00	0.010952
2/26/1965 16:00:00	0.010965
3/31/1965 16:00:00	0.010838
4/30/1965 16:00:00	0.011241
5/28/1965 16:00:00	0.011183
6/30/1965 16:00:00	0.010672
7/30/1965 16:00:00	0.010849
8/31/1965 16:00:00	0.011129
9/30/1965 16:00:00	0.011520
10/29/1965 16:00:00	0.011876
11/30/1965 16:00:00	0.011806
12/31/1965 16:00:00	0.011956
1/31/1966 16:00:00	0.012007
2/28/1966 16:00:00	0.011789
3/31/1966 16:00:00	0.011531
4/29/1966 16:00:00	0.011765
5/31/1966 16:00:00	0.011123
6/30/1966 16:00:00	0.010945
7/29/1966 16:00:00	0.010795
8/31/1966 16:00:00	0.009954
9/30/1966 16:00:00	0.009882
10/31/1966 16:00:00	0.010350
11/30/1966 16:00:00	0.010379
12/30/1966 16:00:00	0.010367
1/31/1967 16:00:00	0.011211
2/28/1967 16:00:00	0.011264
3/31/1967 16:00:00	0.011746
4/28/1967 16:00:00	0.012284
5/31/1967 16:00:00	0.011677
6/30/1967 16:00:00	0.011926
7/31/1967 16:00:00	0.012506
8/31/1967 16:00:00	0.012406
9/29/1967 16:00:00	0.012857
10/31/1967 16:00:00	0.012451
11/30/1967 16:00:00	0.012587
12/29/1967 16:00:00	0.012964
1/31/1968 16:00:00	0.012440
2/29/1968 16:00:00	0.012087
3/29/1968 16:00:00	0.012243
4/30/1968 16:00:00	0.013273
5/31/1968 16:00:00	0.013487
6/28/1968 16:00:00	0.013650
7/30/1968 16:00:00	0.013440
8/30/1968 16:00:00	0.013638
9/30/1968 16:00:00	0.014206
10/31/1968 16:00:00	0.014356
11/29/1968 16:00:00	0.015090
12/31/1968 16:00:00	0.014510
1/31/1969 16:00:00	0.014448
2/28/1969 16:00:00	0.013805
3/28/1969 16:00:00	0.014333
4/30/1969 16:00:00	0.014699
5/29/1969 16:00:00	0.014724
6/30/1969 16:00:00	0.013959
7/31/1969 16:00:00	0.013170
8/29/1969 16:00:00	0.013756
